Redaction;Audience;Media
LeMonde;National;Ecrit
LeFigaro;National;Ecrit
Libe;National;Ecrit
LesEchos;National;Ecrit
Mediapart;National;Ecrit
Point;National;Ecrit
LOpinion;National;Ecrit
JDD;National;Ecrit
LaTribune;National;Ecrit
Atlantico;National;Ecrit
Valeur;National;Ecrit
LHumanite;National;Ecrit
Obs;National;Ecrit
Marianne;National;Ecrit
AFP;National;Ecrit
Blast;National;Ecrit
Cnews;National;TV
Express;National;Ecrit
Inter;National;Radio
Europe;National;Radio
BFM;National;Radio
Lacroix;National;Ecrit
Parisien;Regional;Ecrit
LaProvence;Regional;Ecrit
OuestFrance;Regional;Ecrit
VoixDuNord;Regional;Ecrit
LeProgres;Regional;Ecrit
SudOuest;Regional;Ecrit
DauphineLibere;Regional;Ecrit
EstRep;Regional;Ecrit
RTL;National;Radio
RMC;National;Radio
SudRadio;National;Radio
FranceCulture;National;Radio
Arte;National;TV
France5;National;TV
TF1;National;TV
C8;National;TV
France2;National;TV
France3;National;TV
M6;National;TV
ArretSurImages;National;TV
