pseudo;prenom;nom;journal
edwyplenel;Edwy;Plenel;Mediapart
jmaphatie;Jean-Michel;Aphatie;RTL
C_Barbier;Christophe;Barbier;BFM
JeudyBruno;Bruno;Jeudy;Paris Match
Ju_Arnaud;Julien;Arnaud;TF1
apollineWakeUp;Apolliine;de Malherbe;RMC
valtrier;Valérie;Trierweiler;Paris Match
fabricearfi;Fabrice;Arfi;Mediapart
ThomasWieder;Thomas;Wieder;Le Monde
vnataf;Valérie;Nataf;TF1
askolovitchC;Claude;Askolovitch;Inter
aslapix;Anne-Sophie;Lapix;France 2
guybirenbaum;Guy;Birenbaum;Europe 1
samuellaurent;Samuel;Laurent;Le Monde
CChaffanjon;Charlotte;Chaffanjon;Le Point
lofejoma;Thomas;Legrand;Inter
PaulLarrouturou;Paul;Larroutou;Europe 1
Caroline_Roux;Caroline;Roux;France TV
gregory_raymond;Gregory;Raymond;Le Monde
ruthelkrief;Ruth;Elkrief;TF1
RenaudDely;Renaud;Dely;Nouvel Obs
ivalerio;Ivan;Valerio;Europe 1
jwaintraub;Judith;Waintraub;Figaro
GTabard;Guillaume;Tabard;Figaro
Laurent_Joffrin;Laurent;Joffrin;Libération
GuilPerrault;Guillaume;Perrault;Figaro
hadrienmathoux;Hadrien;Mathoux;Marianne
AliceRaybaud2;Alice;Raybaud;Le Monde
juliettebenezit;Juliette;Benezit;Le Monde
PommiersElea;Élia;Pommiers;Le Monde
Arthur_Crpt;Arthur;Carpentier;Le Monde
AubertRaphaelle;Raphaëlle;Aubert;Le Monde
soazigleneve;Soazig;Lenevé;Le Monde
FranckNouchi;Franck;Nouchi;Le Monde
charlotteherzog;Charlotte;Herzog;Le Monde
PBenkimoun;Paul;Benkimoun;Le Monde
ArianeChemin;Ariane;Chemin;Le Monde
ChristopheAyad;Christophe;Ayad;Le Monde
gregoireallix;Grégoire;Allix;Le Monde
BriceLaemle;Brice;Laemle;Le Monde
NathalieBrafman;Nathalie;Brafman;Le Monde
ITrippenbach;Ivanne;Trippenbach;Le Monde
RaphaelleBacque;Raphaelle;Bacque;Le Monde
ccornevin;Christophe;Cornevin;Figaro
ElsaBembaron;Elsa;Bembaron;Figaro
Youssr_Youssef;Youssr;Youssef;Figaro
AudeBariety;Aude ;Bariety;Figaro
TristanQM;Tristan;QM;Figaro
erenault;Enguerand;Renault;Figaro
DamienMercereau;Damien;Mercereau;Figaro
yvesthreard;Yves;Threard;Figaro
wallybordas;Wally;Bordas;Figaro
JPaturaud;Jeanne;Paturaud;Figaro
Firenault;Marie-Céline;Firenault;Figaro
fxbourmaud;FX;Bourmaud;Figaro
vtremolet;Vincent;Tremolet;Figaro
EugenieBastie;Eugénie;Bastié;Cnews
AlexDevecchio;Alexandre;Devecchio;Figaro
PascalPraud;Pascal;Praud;Cnews
Rdesarbres;Romain;Desarbres;Cnews
JeromeBegle;Jerome;Begle;Cnews
G_Roquette;Guillaume;Roquette;Figaro
sebastienlefol;Sébastien;Le Fol;Le Point
UsulduFutur;Usul;du Futur;Mediapart
laluneleciel;Emmanuelle;Fabre;La Provence
LeaSalame;Léa;Salamé;France Inter
Gouffa83;Fabrice;Lamperti;La Provence
Laudecotte;Laurent;Decotte;Voix du Nord
RemyPerrin;Rémy;Perrin;Le Progrès
EmilyImbert;Emily;Imbert;Dauphiné
GhislainUtard;Ghislain;Utard;L’Est Républicain
